id,state,Behavior,Behavior2,Behavior3,Behavior4,Behavior5,time,text
AI编号,状态,行为,行为2,行为3,行为4,行为5,时间,备注
1,13#20#70,7#101001#100,-1,-1,-1,-1,1,建筑可升级状态则升级
2,2#80,7#103001|103002|103003|103004|103005#60,-1,-1,-1,-1,1,如果建筑兵力达到生产上限80%的时，则随机向103001-103005这些建筑进攻
3,2#80,7#104002|104008#60,-1,-1,-1,-1,1,104001
4,2#80,7#104001|104003#60,-1,-1,-1,-1,1,104002
5,2#80,7#104004#60,-1,-1,-1,-1,1,104003
6,2#80,7#104003|104005#60,-1,-1,-1,-1,1,104004
7,2#80,7#104004|104006#60,-1,-1,-1,-1,1,104005
8,2#80,7#104005|104007#60,-1,-1,-1,-1,1,104006
9,2#80,7#104006|104008#60,-1,-1,-1,-1,1,104007
10,2#80,7#104001|104007#60,-1,-1,-1,-1,1,104008
11,2#80,7#105002|105003|105004|105005#60,-1,-1,-1,-1,1,105001
12,2#80,7#105001|105003|105015|105013#60,-1,-1,-1,-1,1,105002
13,2#80,7#105001|105002|105004|105005|105013#60,-1,-1,-1,-1,1,105003
14,2#80,7#105001|105003|105005|105013#60,-1,-1,-1,-1,1,105004
15,2#80,7#105001|105004|105007|105006|105013#60,-1,-1,-1,-1,1,105005
16,2#80,7#105004|105005|105007|105013#60,-1,-1,-1,-1,1,105006
17,2#80,7#105006|105008|105012|105013#60,-1,-1,-1,-1,1,105007
18,2#80,7#105007|105012|105009#60,-1,-1,-1,-1,1,105008
19,2#80,7#105008|105012|105011#60,-1,-1,-1,-1,1,105009
20,2#80,7#105014|105011#60,-1,-1,-1,-1,1,105010
21,2#80,7#105009|105010|105012|105013#60,-1,-1,-1,-1,1,105011
22,2#80,7#105007|105008|105009|105013#60,-1,-1,-1,-1,1,105012
23,2#80,7#105004|105006|105012|105015|105003#60,-1,-1,-1,-1,1,105013
24,2#80,7#105015|105010|105013#60,-1,-1,-1,-1,1,105014
25,2#80,7#105012|105013|105013#60,-1,-1,-1,-1,1,105015
26,3#300,2,-1,-1,-1,-1,1,兵力达到300则全军出击
27,5#200,9#50,-1,-1,-1,-1,1,附近200像素内建筑受到攻击，出动50%兵力救援
28,2#80,7#105002|105003|105004|105005#60,-1,-1,-1,-1,1,105001
29,2#80,7#105001|105003|105015|105013#60,-1,-1,-1,-1,1,105002
30,2#80,7#105001|105002|105004|105005|105013#60,-1,-1,-1,-1,1,105003
31,2#80,7#105001|105003|105005|105013#60,-1,-1,-1,-1,1,105004
32,2#80,7#105001|105004|105007|105006|105013#60,-1,-1,-1,-1,1,105005
33,2#80,7#105004|105005|105007|105013#60,-1,-1,-1,-1,1,105006
34,2#80,7#105006|105008|105012|105013#60,-1,-1,-1,-1,1,105007
35,2#80,7#105007|105012|105009#60,-1,-1,-1,-1,1,105008
36,2#80,7#105008|105012|105011#60,-1,-1,-1,-1,1,105009
37,2#80,7#105014|105011#60,-1,-1,-1,-1,1,105010
38,2#80,7#105009|105010|105012|105013#60,-1,-1,-1,-1,1,105011
39,2#80,7#105007|105008|105009|105013#60,-1,-1,-1,-1,1,105012
40,2#80,7#105004|105006|105012|105015|105003#60,-1,-1,-1,-1,1,105013
41,2#80,7#105015|105010|105013#60,-1,-1,-1,-1,1,105014
42,2#80,7#105012|105013|105013#60,-1,-1,-1,-1,1,105015
2001,1,3,-1,-1,-1,-1,1,通用升级AI，可升级则升级
2002,2#50:1,3,-1,-1,-1,-1,1,通用升级AI，兵力大于50%则升级
2003,5#20:2#75,9#50#75,-1,-1,-1,-1,1,通用救援AI，兵力大于50%且在300像素范围则出兵100%救援
2004,5#25:2#25,9#50#25,-1,-1,-1,-1,1,通用救援AI，兵力大于50%且在500像素范围则出兵50%救援
2005,5#15:2#50,9#50#50,-1,-1,-1,-1,1,通用救援AI，兵力大于50%且在300像素范围则出兵50%救援
2006,2#50:10#10,10#50,-1,-1,-1,-1,1,通用打野AI，兵力大于50%且在200像素范围则出兵50%打野
2007,2#50:10#15,10#50,-1,-1,-1,-1,1,通用打野AI，兵力大于50%且在300像素范围则出兵50%打野
2008,2#50:10#10,10#75,-1,-1,-1,-1,1,通用打野AI，兵力大于50%且在200像素范围则出兵75%打野
2009,2#75:1,3,-1,-1,-1,-1,1,通用升级AI，兵力达40个则升级
2010,5#50:2#35,9#50#35,-1,-1,-1,-1,1,通用救援AI，兵力大于35个且在1000像素范围则出兵50%救援
2011,2#60:1,3,-1,-1,-1,-1,1,通用升级AI，兵力达60个则升级
2012,15#35:1,3,-1,-1,-1,-1,1,通用升级AI，兵力达50个则升级
2013,2#100:1,3,-1,-1,-1,-1,1,0
2014,15#30:1:14,3,-1,-1,-1,-1,1,0
2015,5#17:15#25,9#50#25,-1,-1,-1,-1,1,
2016,29#1#2:15#10:1,3,-1,-1,-1,-1,1,兵营使用，等级小于2时10兵力升级
2017,29#1#3:15#25:1,3,-1,-1,-1,-1,1,兵营使用，等级小于3时25兵力升级
2018,29#1#4:15#40:1,3,-1,-1,-1,-1,1,兵营使用，等级小于4时，40兵力升级
2019,29#1#2:15#35:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于2时35兵力升级
2020,29#1#3:15#40:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于3时40兵力升级
2021,29#1#4:15#40:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于4时，40兵力升级
2022,29#1#2:15#10:1:3#30,3,-1,-1,-1,-1,1,兵营使用，等级小于2时10兵力升级
2023,29#1#3:15#25:1:3#60,3,-1,-1,-1,-1,1,兵营使用，等级小于3时25兵力升级
2024,29#1#4:15#35:1:3#170,3,-1,-1,-1,-1,1,兵营使用，等级小于4时，40兵力升级
2025,29#1#2:15#35:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于2时35兵力升级
2026,29#1#3:15#40:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于3时40兵力升级
2027,29#1#4:15#40:1,3,-1,-1,-1,-1,1,炮塔使用，等级小于4时，40兵力升级
2100,15#10:25#25#2#5,4#0#10,-1,-1,-1,-1,1,救援AI1
2101,15#10:25#25#2#15,4#0#20,-1,-1,-1,-1,1,救援AI2
2102,15#10:25#25#2#25,4#0#30,-1,-1,-1,-1,1,救援AI3
2103,15#10:25#25#2#35,4#0#40,-1,-1,-1,-1,1,救援AI4
2104,15#10:25#25#2#50,7#0#100,-1,-1,-1,-1,1,救援AI5
30012,2#100,7#103002|103003#25,-1,-1,-1,-1,1,建筑兵力达到100%则调动25%兵进攻敌军
30022,2#100,7#103001|103003#25,-1,-1,-1,-1,1,建筑兵力达到100%则调动25%兵进攻敌军
30032,2#100,7#103001|103002#25,-1,-1,-1,-1,1,建筑兵力达到100%则调动25%兵进攻敌军
40011,3#320:2#50,2,-1,-1,-1,-1,1,总兵力达到320且建筑兵力达到50%则全军出击攻击最近单位
40013,6#14:15#30,7#104008#100,-1,-1,-1,-1,1,14格内存在中立建筑且建筑兵力达到30个则调动100%兵进攻敌军
40014,2#100,7#104008#75,-1,-1,-1,-1,1,建筑兵力达到100%则调动75%兵进攻敌军
40021,8#2#3:1,3,-1,-1,-1,-1,1,己方建筑大于3且可升级则升级
40022,8#2#2:15#60,4#104003|104001#30,-1,-1,-1,-1,1,己方建筑大于2且建筑兵力达到60个则向友军调兵30个
40023,15#58,6#104001|104003#24,-1,-1,-1,-1,1,建筑兵力达到58个则调动24个兵进攻敌军
40032,6#15:15#30,7#104004#100,-1,-1,-1,-1,1,15格内存在中立建筑且建筑兵力达到30个则调动100%兵进攻敌军
40033,2#100,7#104004#75,-1,-1,-1,-1,1,建筑兵力达到100%则调动75%兵进攻敌军
40041,14:01,3,-1,-1,-1,-1,1,己方建筑没有收到伤害且可升级则升级
40042,2#100,6#104005|104003#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
40043,13#15#15:2#25,7#104005#100,-1,-1,-1,-1,1,15格内敌方兵力少于15个且建筑兵力达到25%则调动100%兵进攻敌军
40051,14:01,3,-1,-1,-1,-1,1,己方建筑没有收到伤害且可升级则升级
40052,2#100,6#104006|104004#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
40053,13#13#15:2#25,7#104006#100,-1,-1,-1,-1,1,13格内敌方兵力少于15个且建筑兵力达到25%则调动100%兵进攻敌军
40061,14:01,3,-1,-1,-1,-1,1,己方建筑没有收到伤害且可升级则升级
40062,15#80,7#104007|104005#100,-1,-1,-1,-1,1,建筑兵力达到80个则调动100%兵进攻敌军
40071,14:01,3,-1,-1,-1,-1,1,己方建筑没有收到伤害且可升级则升级
40072,15#80,7#104006|104005#100,-1,-1,-1,-1,1,建筑兵力达到80个则调动100%兵进攻敌军
40081,14:01,3,-1,-1,-1,-1,1,己方建筑没有收到伤害且可升级则升级
40082,2#100,7#104006|104008#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动100%兵进攻敌军
