Id,Module,Category,Condition,Award,Describe,TaskName,AddNum,icon
编号,模块3对战1关卡2其他,类别,完成条件,奖励成就点数,成就描述,任务名字,排名加成,成就图标
1,1,1,1#1#1050,5,完美三星通关第一章第5关,新手试练1,10003,1
2,1,1,1#1#1100,5,完美三星通关第一章第10关,新手试练2,9055,1
3,1,1,1#1#1200,5,完美三星通关第一章第20关,新手试练3,7654,1
4,1,1,1#1#1300,5,完美三星通关第一章第30关,青铜试练1,6952,1
5,1,1,1#1#2100,5,完美三星通关第二章第10关,青铜试练2,3250,2
6,1,1,1#1#2200,5,完美三星通关第二章第20关,白银试练1,214,2
7,1,1,1#1#2300,5,完美三星通关第二章第30关,白银试练2,0,2
8,1,1,1#1#3100,5,完美三星通关第三章第10关,黄金试练1,0,3
9,1,2,1#5,2,累积通关获得5颗星星,星星达人1,15001,1
10,1,2,1#10,2,累积通关获得10颗星星,星星达人2,13547,1
11,1,2,1#20,5,累积通关获得20颗星星,星星达人3,10125,1
12,1,2,1#40,10,累积通关获得40颗星星,星星达人4,5424,2
13,1,2,1#60,10,累积通关获得60颗星星,星星达人5,3400,3
14,1,2,1#90,15,累计通关获得90颗星星,星星达人6,0,3
15,1,2,1#120,15,累计通关获得120颗星星,星星达人7,0,3
16,1,2,1#250,20,累计通关获得250颗星星,星星达人8,0,3
17,2,1,2#1#5,2,累计使用闯关道具5次,道具狂人1,2542,1
18,2,1,2#1#15,2,累计使用闯关道具15次,道具狂人2,1820,1
19,2,1,2#1#40,5,累计使用闯关道具40次,道具狂人3,1430,1
20,2,1,2#1#60,5,累计使用闯关道具60次,道具狂人4,1102,1
21,2,1,2#1#100,5,累计使用闯关道具100次,道具狂人5,0,2
22,2,1,2#1#150,10,累计使用闯关道具150次,道具狂人6,0,2
23,2,1,2#1#300,20,累计使用闯关道具300次,道具狂人7,0,3
24,2,1,2#1#400,25,累计使用闯关道具400次,道具狂人8,0,3
25,2,1,2#1#500,30,累计使用闯关道具500次,道具狂人9,0,3
26,2,1,2#1#1000,50,累计使用闯关道具1000次,道具狂人10,0,3
27,3,3,2#8#2000,5,美食争霸段位积分达到2000,青铜,22424,1
28,3,3,2#8#2200,5,美食争霸段位积分达到2200,白银1阶,5045,1
29,3,3,2#8#2600,5,美食争霸段位积分达到2600,白银2阶,20,1
30,3,3,2#8#2800,10,美食争霸段位积分达到2800,黄金1阶,0,2
31,3,3,2#8#3200,10,美食争霸段位积分达到3200,黄金2阶,0,2
32,3,3,2#8#3400,20,美食争霸段位积分达到3400,钻石1阶,0,3
33,3,3,2#8#3800,20,美食争霸段位积分达到3800,钻石2阶,0,3
34,3,3,2#9#5,2,参与对战达成5连胜,不败神话1,1012,1
35,3,3,2#9#15,2,参与对战达成15连胜,不败神话2,245,1
36,3,3,2#9#30,2,参与对战达成30连胜,不败神话3,10,1
37,3,3,2#9#60,5,参与对战达成60连胜,不败神话4,2,1
38,3,3,2#9#100,5,参与对战达成90连胜,不败神话5,0,2
39,3,3,2#5#10,2,累积随机对战10次,王者之路1,12501,1
40,3,3,2#5#50,4,累积随机对战50次,王者之路2,11245,1
41,3,3,2#5#100,6,累积随机对战100次,王者之路3,10452,1
42,3,3,2#5#400,15,累积随机对战400次,王者之路4,8542,1
43,3,3,2#5#1000,20,累积随机对战1000次,王者之路5,6972,1
44,3,3,2#5#5000,30,累积随机对战5000次,王者之路6,0,2
45,3,3,2#5#10000,35,累积随机对战10000次,王者之路7,0,2
46,3,3,2#5#30000,50,累积随机对战30000次,王者之路8,0,3
47,3,3,2#5#50000,50,累积随机对战50000次,王者之路9,0,3
48,3,3,2#6#5,2,累积开房对战5次,偶尔去开房1,5454,1
49,3,3,2#6#20,4,累积开房对战20次,偶尔去开房2,3455,1
50,3,3,2#6#100,10,累积开房对战100次,经常去开房1,1005,1
51,3,3,2#6#200,20,累积开房对战200次,经常去开房2,423,1
52,3,3,2#6#500,25,累积开房对战500次,开房喜爱者1,210,1
53,3,3,2#6#900,30,累积开房对战900次,开房喜爱者2,0,2
54,3,3,2#6#1200,30,累积开房对战1200次,开房热爱者1,0,2
55,3,3,2#6#2000,35,累积开房对战2000次,开房热爱者2,0,3
56,3,3,2#6#2500,50,累积开房对战2500次,开房酷爱者1,0,3
57,3,3,2#6#4000,50,累积开房对战4000次,开房酷爱者2,0,3
58,3,3,2#7#5,2,累积参与荣誉竞技场对战5次,巅峰之路1,1544,1
59,3,3,2#7#20,4,累积参与荣誉竞技场对战20次,巅峰之路2,215,1
60,3,3,2#7#50,6,累积参与荣誉竞技场对战50次,巅峰之路3,0,1
61,3,3,2#7#100,10,累积参与荣誉竞技场对战100次,巅峰之路4,0,1
62,3,3,2#7#400,20,累积参与荣誉竞技场对战400次,巅峰之路5,0,1
63,3,3,2#7#800,25,累积参与荣誉竞技场对战800次,巅峰之路6,0,1
64,3,3,2#7#1200,25,累积参与荣誉竞技场对战1200次,巅峰之路7,0,2
65,3,3,2#7#2000,30,累积参与荣誉竞技场对战2000次,巅峰之路8,0,2
66,3,3,2#7#5000,50,累积参与荣誉竞技场对战5000次,巅峰之路9,0,3
67,3,3,2#7#10000,50,累积参与荣誉竞技场对战10000次,巅峰之路10,0,3
68,3,3,2#11#10,4,累计对战胜利10次,战神神话1,0,1
69,3,3,2#11#50,8,累计对战胜利50次,战神之路2,0,1
70,3,3,2#11#100,12,累计对战胜利100次,战神之路3,0,1
71,3,3,2#11#200,16,累计对战胜利200次,战神之路4,0,1
72,3,3,2#11#500,20,累计对战胜利500次,战神之路5,0,2
73,3,3,2#11#1000,24,累计对战胜利1000次,战神之路6,0,2
74,3,3,2#11#2500,30,累计对战胜利2500次,战神之路7,0,2
75,3,3,2#11#5000,30,累计对战胜利5000次,战神之路8,0,2
76,3,3,2#11#10000,30,累计对战胜利10000次,战神之路9,0,3
77,3,3,2#11#30000,50,累计对战胜利30000次,战神之路10,0,3
78,2,3,2#10#5,2,累计使用对战道具5次,道具狂魔1,0,1
79,2,3,2#10#20,2,累计使用对战道具20次,道具狂魔2,0,1
80,2,3,2#10#40,5,累计使用对战道具40次,道具狂魔3,0,1
81,2,3,2#10#80,5,累计使用对战道具80次,道具狂魔4,0,2
82,2,3,2#10#150,10,累计使用对战道具150次,土豪1,0,2
