Id,SkillId,Honor,Piece,Material
Id,技能id,荣誉值,碎片,稀有材料
10100101,102001,0,10,0
10100102,102002,200,5,0
10100103,102003,400,10,0
10100104,102004,600,20,0
10100105,102005,1000,30,0
10100106,102006,2000,50,0
10100107,102007,3000,80,0
10100108,102008,5000,120,0
10100109,102009,10000,200,0
10100110,102010,20000,500,0
10200101,101001,0,10,0
10200102,101002,400,5,0
10200103,101003,600,10,0
10200104,101004,1000,20,0
10200105,101005,2000,30,1
10200106,101006,3000,50,2
10200107,101007,5000,80,3
10200108,101008,10000,120,5
10200109,101009,20000,200,7
10200110,101010,40000,500,10
10200201,100001,0,10,0
10200202,100002,200,5,0
10200203,100003,400,10,0
10200204,100004,600,20,0
10200205,100005,1000,30,0
10200206,100006,2000,50,0
10200207,100007,3000,80,0
10200208,100008,5000,120,0
10200209,100009,10000,200,0
10200210,100010,20000,500,0
10300101,103001,0,20,0
10300102,103002,600,5,0
10300103,103003,1000,10,0
10300104,103004,2000,20,0
10300105,103005,3000,30,5
10300106,103006,5000,50,7
10300107,103007,10000,80,10
10300108,103008,20000,120,15
10300109,103009,40000,200,20
10300110,103010,80000,500,30
10400101,104001,0,20,0
10400102,104002,600,5,0
10400103,104003,1000,10,0
10400104,104004,2000,20,0
10400105,104005,3000,30,3
10400106,104006,5000,50,5
10400107,104007,10000,80,7
10400108,104008,20000,120,10
10400109,104009,40000,200,15
10400110,104010,80000,500,20
10500101,105001,0,20,0
10500102,105002,600,5,0
10500103,105003,1000,10,0
10500104,105004,2000,20,0
10500105,105005,3000,30,3
10500106,105006,5000,50,5
10500107,105007,10000,80,7
10500108,105008,20000,120,10
10500109,105009,40000,200,15
10500110,105010,80000,500,20
10600101,106001,0,20,0
10600102,106002,400,5,0
10600103,106003,600,10,0
10600104,106004,1000,20,0
10600105,106005,2000,30,5
10600106,106006,3000,50,7
10600107,106007,5000,80,10
10600108,106008,10000,120,15
10600109,106009,20000,200,20
10600110,106010,40000,500,30
10700101,107001,0,20,0
10700102,107002,800,5,0
10700103,107003,1500,10,0
10700104,107004,3000,20,0
10700105,107005,5000,30,7
10700106,107006,10000,50,10
10700107,107007,20000,80,15
10700108,107008,40000,120,20
10700109,107009,70000,200,30
10700110,107010,100000,500,40
10800101,108001,0,20,0
10800102,108002,600,5,0
10800103,108003,1000,10,0
10800104,108004,2000,20,0
10800105,108005,3000,30,5
10800106,108006,5000,50,7
10800107,108007,10000,80,10
10800108,108008,20000,120,15
10800109,108009,40000,200,20
10800110,108010,80000,500,30
10900101,109001,0,20,0
10900102,109002,800,5,0
10900103,109003,1500,10,0
10900104,109004,3000,20,0
10900105,109005,5000,30,7
10900106,109006,10000,50,10
10900107,109007,20000,80,15
10900108,109008,40000,120,20
10900109,109009,70000,200,30
10900110,109010,100000,500,40
11000101,110001,0,20,0
11000102,110002,600,5,0
11000103,110003,1000,10,0
11000104,110004,2000,20,0
11000105,110005,3000,30,5
11000106,110006,5000,50,7
11000107,110007,10000,80,10
11000108,110008,20000,120,15
11000109,110009,40000,200,20
11000110,110010,80000,500,30
11100101,111001,0,20,0
11100102,111002,600,5,0
11100103,111003,1000,10,0
11100104,111004,2000,20,0
11100105,111005,3000,30,5
11100106,111006,5000,50,7
11100107,111007,10000,80,10
11100108,111008,20000,120,15
11100109,111009,40000,200,20
11100110,111010,80000,500,30
11200101,112001,0,20,0
11200102,112002,800,5,0
11200103,112003,1500,10,0
11200104,112004,3000,20,0
11200105,112005,5000,30,10
11200106,112006,10000,50,15
11200107,112007,20000,80,20
11200108,112008,40000,120,30
11200109,112009,70000,200,40
11200110,112010,100000,500,50
11300101,113001,0,20,0
11300102,113002,600,5,0
11300103,113003,1000,10,0
11300104,113004,2000,20,0
11300105,113005,3000,30,5
11300106,113006,5000,50,7
11300107,113007,10000,80,10
11300108,113008,20000,120,15
11300109,113009,40000,200,20
11300110,113010,80000,500,30
