id,title,mark,icon,loop,level
100,新手训练营,0,fla_XSjiaoxue_xunlianyin,1,0
101,训练关卡,0,fla_XSjiaoxue_xunlianyin,1,0
200,基础知识,2,fla_XSjiaoxue_chubing,1,99010
201,出兵,0,fla_XSjiaoxue_chubing,1,99010
202,兵营,0,fla_XSjiaoxue_bingying,0,99010
203,箭塔,0,fla_XSjiaoxue_paota,0,99020
204,军备所,0,fla_XSjiaoxue_yanjiusuo,1,99040
300,关卡知识,2,fla_XSjiaoxue_guankaleixing,0,99060
301,关卡类型,3,fla_XSjiaoxue_guankaleixing,0,99060
302,关卡评星,0,panel22,0,99060
400,道具知识,2,panel31,0,99050
401,道具装备,0,panel31,0,99050
500,野怪知识,2,fla_XSjiaoxue_yeguai,0,99040
501,野怪,3,fla_XSjiaoxue_yeguai,0,99040
600,进阶知识,2,panel51,0,99030
601,士气,3,panel51,0,99040
602,出兵比例,0,fla_XSjiaoxue_chubingbili,0,99030
603,小诀窍1,3,panel53,0,99050
604,小诀窍2,3,fla_XSjiaoxue_xiaojueqiao2,1,99050
700,进阶建筑,2,fla_XSjiaoxue_UFOmujian,1,99060
701,先锋营,3,fla_XSjiaoxue_UFOmujian,1,99060
702,箭塔进化,0,fla_XSjiaoxue_paotajinjie,0,99060
