id,gateID,type,levelLimit,initPeople,initCamp,expressIndex,aiType,isModesTag,isModeTag,scoreSpeed,CreepsPoint,TrapPoint,text
建筑编号（前4位为关卡编号）,所属关卡,建筑类型,等级上限,初始人口,初始阵营,外形索引,AI,标记建筑是否是占领模式和资源模式下的标记建筑,守护建筑是否是守护模式下的守护建筑,资源速度资源模式下获得积分的速度,打野点,陷阱点,备注
101001,1010,1004,4,60,1,1,0,0,0,0,0,0,0
101002,1010,1004,4,65,1,1,0,0,0,0,0,0,0
101003,1010,1003,4,100,2,2,1010001,0,0,0,0,0,0
101004,1010,1004,4,65,1,1,0,0,0,0,0,0,0
102001,1020,1003,1,30,2,2,1020001,0,0,0,0,0,0
102002,1020,1002,1,30,1,1,0,0,0,0,0,0,0
102003,1020,1002,1,30,1,1,0,0,0,0,0,0,0
102004,1020,1004,1,40,1,1,0,0,0,0,0,0,0
102005,1020,1003,1,25,2,2,1020001,0,0,0,0,0,0
103001,1030,1002,2,30,2,2,1030001,0,0,0,0,0,0
103002,1030,1001,2,20,2,2,0,0,0,0,0,0,0
103003,1030,1002,3,180,1,1,0,0,0,0,0,0,0
103004,1030,1002,2,30,2,2,1030001,0,0,0,0,0,0
103005,1030,1001,2,20,2,2,0,0,0,0,0,0,0
104001,1040,1001,3,20,1,1,0,0,0,0,0,0,0
104002,1040,1002,3,20,1,1,0,0,0,0,0,0,0
104003,1040,1002,3,30,1,1,0,0,0,0,0,0,0
104004,1040,1002,3,30,1,1,0,0,0,0,0,0,0
104005,1040,1002,3,20,2,2,3001+3002,0,0,0,0,0,0
104006,1040,1001,3,15,2,2,3001+3002,0,0,0,0,0,0
104007,1040,1002,3,20,2,2,3001+3002,0,0,0,0,0,0
105001,1050,1003,3,35,1,1,0,0,0,0,0,0,0
105002,1050,1003,3,35,1,1,0,0,0,0,0,0,0
105003,1050,1003,3,35,1,1,0,0,0,0,0,0,0
105005,1050,1002,3,15,0,0,0,0,0,0,0,0,0
105006,1050,1002,3,20,2,2,1050001+1050002+1050003,0,0,0,0,0,0
105007,1050,1002,3,20,2,2,1050001+1050002+1050003,0,0,0,0,0,0
105008,1050,1001,3,20,2,2,1050001+1050002+1050003,0,0,0,0,0,0
106001,1060,1004,3,5,0,0,0,0,0,0,0,0,0
106002,1060,1002,3,60,1,1,0,0,0,0,0,0,0
106003,1060,1004,3,5,0,0,0,0,0,0,0,0,0
106004,1060,1003,3,60,1,1,0,0,0,0,0,0,0
106005,1060,1002,3,30,0,0,1060001+1060002,0,0,0,0,0,0
106006,1060,1003,3,25,2,2,1060001+1060002,0,0,0,0,0,0
106007,1060,1003,3,25,2,2,1060001+1060002,0,0,0,0,0,0
107001,1070,1004,4,120,1,1,3000+1070003,0,0,0,0,0,0
107002,1070,1003,4,5,0,0,3000+1070003,0,0,0,0,0,0
107003,1070,1003,4,5,0,0,3000+1070003,0,0,0,0,0,0
107004,1070,1004,4,10,0,0,3000+1070002+1070003,0,0,0,0,0,0
107005,1070,1003,4,20,0,0,3000+1070002+1070003,0,0,0,0,0,0
107006,1070,1003,4,20,0,0,3000+1070002+1070003,0,0,0,0,0,0
107007,1070,1003,4,30,2,2,3000+1070001+1070004+1070002,0,0,0,0,0,0
107008,1070,1003,4,30,2,2,3000+1070004+1070002,0,0,0,0,0,0
107009,1070,1004,4,20,0,0,3000+1070001+1070002,0,0,0,0,0,0
108001,1080,1003,4,20,1,1,1080001+1080002+1080004,0,0,0,0,0,0
108002,1080,1003,4,35,1,1,1080001+1080002+1080004,0,0,0,0,0,0
108003,1080,2001,3,35,1,1,1080004,0,0,0,0,0,0
108004,1080,1003,4,5,0,0,1080001+1080002+1080004+1080005,0,0,0,0,0,0
108005,1080,1003,4,5,0,0,1080001+1080002+1080004+1080005,0,0,0,0,0,0
108006,1080,2001,3,30,2,2,1080003,0,0,0,0,0,0
108007,1080,1002,4,30,2,2,1080001+1080002+1080003+1080005,0,0,0,0,0,0
109001,1090,1004,4,40,1,1,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109002,1090,1004,4,40,1,1,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109003,1090,1004,4,5,0,0,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109004,1090,2003,4,20,1,1,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109005,1090,2002,4,20,0,0,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109006,1090,1003,4,20,0,0,1090001+1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109007,1090,1003,4,30,2,2,1090001+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
109008,1090,1003,4,30,2,2,1090002+1090003+1090004+1090005+3005+3006+3007,0,0,0,0,0,0
110001,1100,2004,4,20,1,1,3001+3002+3003+1100005,0,0,0,0,0,0
110002,1100,1004,4,5,0,0,3001+3002+3003+1100004+1100005,0,0,0,0,0,0
110003,1100,1004,3,80,1,1,3001+3002+3003,0,0,0,0,0,0
110004,1100,1004,4,5,0,0,3001+3002+3003+1100004+1100005,0,0,0,0,0,0
110005,1100,2002,4,25,0,0,3001+3002+3003,0,0,0,0,0,0
110006,1100,1003,4,5,0,0,3001+3002+3003+1100001+1100002+1100003+1100004+1100005,0,0,0,0,0,0
110007,1100,2002,4,25,0,0,3001+3002+3003,0,0,0,0,0,0
110008,1100,1003,4,15,2,2,3005+3006+3007+1100001+1100003+1100004+1100005,0,0,0,0,0,0
110009,1100,1003,4,15,2,2,3005+3006+3007+1100002+1100003+1100004+1100005,0,0,0,0,0,0
111001,1110,1002,4,20,2,2,1110001+1110002+3005+3006+3007,0,0,0,0,0,0
111002,1110,1003,4,25,2,2,1110001+1110002+3005+3006+3007,0,0,0,0,0,0
111003,1110,2001,4,10,0,0,1110001+1110002+1110003+3005+3006+3007,0,0,0,0,0,0
111004,1110,1002,4,20,2,2,1110001+1110002+1110003+1110004+3005+3006+3007,0,0,0,0,0,0
