Id,Type,Prob,BuffId,EffectAni
id,类型,概率,buffId,buff特效
1131001,1,50,6,fla_buffD
1131003,3,30,5,fla_buffC
1131005,5,30,3,fla_buffB
1132001,1,50,6,fla_buffD
1132003,3,30,5,fla_buffC
1132005,5,30,3,fla_buffB
1140111,6,50,6,fla_buffD
1140112,3,30,5,fla_buffC
1140113,5,30,3,fla_buffB
1140121,6,50,6,fla_buffD
1140122,3,30,5,fla_buffC
1140123,5,30,3,fla_buffB
1150131,6,50,6,fla_buffD
1150132,3,30,5,fla_buffC
1150133,5,30,3,fla_buffB
1150141,6,50,6,fla_buffD
1150142,3,30,5,fla_buffC
1150143,5,30,3,fla_buffB
1160051,6,50,6,fla_buffD
1160052,3,30,5,fla_buffC
1160053,5,30,3,fla_buffB
1160111,6,50,6,fla_buffD
1160112,3,30,5,fla_buffC
1160113,5,30,3,fla_buffB
1190061,6,50,6,fla_buffD
1190062,3,30,5,fla_buffC
1190063,5,30,3,fla_buffB
1190101,6,50,6,fla_buffD
1190102,3,30,5,fla_buffC
1190103,5,30,3,fla_buffB
1220071,6,50,6,fla_buffD
1220072,3,30,5,fla_buffC
1220073,5,30,3,fla_buffB
1220111,6,50,6,fla_buffD
1220112,3,30,5,fla_buffC
1220113,5,30,3,fla_buffB
1220181,6,50,6,fla_buffD
1220182,3,30,5,fla_buffC
1220183,5,30,3,fla_buffB
1220191,6,50,6,fla_buffD
1220192,3,30,5,fla_buffC
1220193,5,30,3,fla_buffB
1240091,6,50,6,fla_buffD
1240092,3,30,5,fla_buffC
1240093,5,30,3,fla_buffB
1240131,6,50,6,fla_buffD
1240132,3,30,5,fla_buffC
1240133,5,30,3,fla_buffB
1240201,6,50,6,fla_buffD
1240202,3,30,5,fla_buffC
1240203,5,30,3,fla_buffB
1240211,6,50,6,fla_buffD
1240212,3,30,5,fla_buffC
1240213,5,30,3,fla_buffB
2080001,6,25,6,fla_buffD
2080003,3,25,5,fla_buffC
2080005,5,50,3,fla_buffB
2090001,6,25,6,fla_buffD
2090003,3,25,5,fla_buffC
2090005,5,50,3,fla_buffB
2100001,6,25,6,fla_buffD
2100003,3,25,5,fla_buffC
2100005,5,50,3,fla_buffB
2101001,6,25,6,fla_buffD
2101003,3,25,5,fla_buffC
2101005,5,50,3,fla_buffB
2102001,6,25,6,fla_buffD
2102003,3,25,5,fla_buffC
2102005,5,50,3,fla_buffB
2110001,6,50,6,fla_buffD
2110005,5,50,3,fla_buffB
2140001,6,25,6,fla_buffD
2140003,3,25,5,fla_buffC
2140005,5,50,3,fla_buffB
2150001,6,25,6,fla_buffD
2150003,3,25,5,fla_buffC
2150005,5,50,3,fla_buffB
2151001,6,25,6,fla_buffD
2151003,3,25,5,fla_buffC
2151005,5,50,3,fla_buffB
2152001,6,25,6,fla_buffD
2152003,3,25,5,fla_buffC
2152005,5,50,3,fla_buffB
2190001,6,40,6,fla_buffD
2190003,3,20,5,fla_buffC
2190005,5,40,3,fla_buffB
3090003,3,50,5,fla_buffC
3090005,5,50,3,fla_buffB
3100001,6,100,6,fla_buffD
3100003,3,50,5,fla_buffC
3100005,5,50,3,fla_buffB
3140003,3,50,5,fla_buffC
