id,diamond,manual,energy,roomcard,honor,badge,items,item1,item2,item3,item4,item5,text,origin
礼包编号（1开头为通关礼包，7开头为满星礼包）,金币,体力,精力,开房卷,荣誉,勋章（ID）,支持items表道具（id+num#id+num),道具1+数量,道具2+数量,道具3+数量,道具4+数量,道具5+数量,注释,礼包来源信息如果有填写必须在前面补上0值
1,0,50,0,5,0,0,100202+2#20001+3,10009+5,10006+3,30006+5,,,新手礼包,
100,0,0,0,0,0,0,,30001+1,,,,,PVE礼包,
101,0,0,0,0,0,0,,30007+1,,,,,PVE礼包,
102,0,0,0,0,0,0,,30001+1,,,,,PVE礼包,
103,0,0,0,0,0,0,,30007+1,,,,,PVE礼包,
104,0,0,0,0,0,0,,30006+1,,,,,PVE礼包,
105,0,0,0,0,0,0,,30008+1,,,,,PVE礼包,
106,0,0,0,0,0,0,,30008+1,,,,,PVE礼包,
107,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
108,0,0,0,0,0,0,,30001+1,,,,,PVE礼包,
109,0,0,0,0,0,0,,30001+1,,,,,PVE礼包,
110,0,0,0,0,0,0,,30007+1,,,,,PVE礼包,
111,0,0,0,0,0,0,,30006+1,,,,,PVE礼包,
112,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
113,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
114,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
115,0,0,0,0,0,0,,30001+2,,,,,PVE礼包,
116,0,0,0,0,0,0,,30007+1,,,,,PVE礼包,
117,0,0,0,0,0,0,,30006+1,,,,,PVE礼包,
118,0,0,0,0,0,0,,30008+1,,,,,PVE礼包,
119,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
120,0,0,0,0,0,0,,30008+2,,,,,PVE礼包,
121,0,0,0,0,0,0,,30001+2,,,,,PVE礼包,
122,0,0,0,0,0,0,,30001+2,,,,,PVE礼包,
123,0,0,0,0,0,0,,30001+2,,,,,PVE礼包,
124,0,0,0,0,0,0,,30001+2,,,,,PVE礼包,
125,0,0,0,0,0,0,,10001+3,,,,,,
126,0,0,0,0,0,0,,30006+3,,,,,PVE礼包,
127,0,0,0,0,0,0,,30001+3,,,,,PVE礼包,
128,0,0,0,0,0,0,,30007+3,,,,,PVE礼包,
201,20,0,0,0,0,0,,,,,,,,
202,40,0,0,0,0,0,,,,,,,成就礼包,
203,50,0,0,0,0,0,,,,,,,成就礼包,
204,80,0,0,0,0,0,,,,,,,成就礼包,
205,100,0,0,0,0,0,,,,,,,成就礼包,
206,100,0,0,0,0,0,,,,,,,成就礼包,
207,150,0,0,0,0,0,,,,,,,成就礼包,
208,210,0,0,0,0,0,,,,,,,成就礼包,
209,250,0,0,0,0,0,,,,,,,成就礼包,
210,300,0,0,0,0,0,,,,,,,成就礼包,
211,350,0,0,0,0,0,,,,,,,,
212,400,0,0,0,0,0,,,,,,,,
213,500,0,0,0,0,0,,,,,,,,
301,0,0,0,0,0,0,,10006+2,,,,,7天签到,
302,88,0,0,0,0,0,,,,,,,7天签到,
303,0,0,0,0,0,0,,10001+5,,,,,7天签到,
304,0,0,0,2,0,0,,,,,,,7天签到,
305,0,0,0,0,0,0,,100101+2,,,,,7天签到,
306,0,0,0,0,0,0,,30006+5,,,,,7天签到,
307,168,0,0,0,0,0,,,,,,,7天签到,
308,0,0,0,0,0,0,,30001+2,,,,,7天签到第二轮,
309,25,0,0,0,0,0,,,,,,,7天签到,
310,0,0,0,0,0,0,,10001+2,,,,,7天签到,
311,0,0,0,2,0,0,,,,,,,7天签到,
312,0,0,0,0,0,0,,100100+20,,,,,7天签到,
313,0,0,0,0,0,0,,30006+2,,,,,7天签到,
314,30,0,0,0,0,0,,80201+1,,,,,7天签到,
401,0,0,0,0,0,0,10010+2#10001+2#30006+2#70008+20#30008+2,,,,,,首充奖励,
402,0,0,0,0,0,0,,10001+10,10007+10,10008+10,,,,
403,0,0,0,0,0,0,,10006+13,10001+13,10008+13,10007+13,,,
404,0,0,100,0,0,0,,10008+60,,,,,,
405,0,0,100,0,0,0,,10008+80,,,,,,
406,0,0,100,0,0,0,,10007+50,,,,,,
407,0,0,150,0,0,0,,10006+50,,,,,,
408,0,0,200,0,0,0,,10007+100,,,,,,
409,0,0,300,0,0,0,,10006+100,,,,,,
410,0,0,400,0,0,0,,10007+200,,,,,,
411,0,0,500,0,0,0,,10006+200,,,,,,
412,0,0,0,0,0,0,,10001+6,10006+6,10007+6,10009+6,10010+6,王者礼包,
413,0,0,0,0,0,0,,30001+3,30006+3,30007+3,30009+3,30010+3,闯关礼包,
414,0,0,0,0,0,0,,100102+1,,,,,荣誉商店符文e,
415,0,0,0,0,0,0,,100103+1,,,,,荣誉商店符文g,
416,0,0,0,0,0,0,,100124+1,,,,,荣誉商店符文i,
417,0,0,0,0,0,0,,80201+1,,,,,荣誉商店符文宝箱A,
418,0,0,0,0,0,0,,80202+1,,,,,荣誉商店符文宝箱B,
419,0,10,0,0,0,0,,,,,,,荣誉商店体力*10,
420,0,0,10,0,0,0,,,,,,,荣誉商店精力*10,
