id,name,icon,type,class,openLevel,activateType,effectType,openAttr,soul,level,mainAttr,sideAttr,mainAttr2,sideAttr2,buildLevel,stuff,vipLevel,needLevel,desc
id,名称,图标,性质类型,阶级类型,开放等级,激活类型,生效类型,是否开放属性,火候,等级,PVE主属性,PVE副属性,PVP主属性,PVP副属性,建筑等级影响值,升级材料,vip等级限制,需要等级,描述
10101,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,1,300,0,150,0,0,100100*1,0,1,#[color=3A3A3A_size=24]攻击增加1.5##[color=3A3A3A_size=24]点(副本闯关增加3##[color=3A3A3A_size=24]点)#
10102,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,2,400,0,200,0,0,100100*3+100101*3,0,8,#[color=3A3A3A_size=24]攻击增加2##[color=3A3A3A_size=24]点(副本闯关增加4##[color=3A3A3A_size=24]点)#
10103,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,3,600,0,250,0,0,100100*7+100101*5,0,10,#[color=3A3A3A_size=24]攻击增加2.5##[color=3A3A3A_size=24]点(副本闯关增加6##[color=3A3A3A_size=24]点)#
10104,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,4,750,0,300,0,0,100100*13+100101*8,0,15,#[color=3A3A3A_size=24]攻击增加3##[color=3A3A3A_size=24]点(副本闯关增加7.5##[color=3A3A3A_size=24]点)#
10105,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,5,900,0,350,0,0,100100*24+100101*12,0,20,#[color=3A3A3A_size=24]攻击增加3.5##[color=3A3A3A_size=24]点(副本闯关增加9##[color=3A3A3A_size=24]点)#
10106,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,6,1200,0,400,0,0,100100*48+100101*16+100201*7,0,25,#[color=3A3A3A_size=24]攻击增加4##[color=3A3A3A_size=24]点(副本闯关增加12##[color=3A3A3A_size=24]点)#
10107,奋战,ui/Icon3/kaoya.png,1,1,6,1,0,1,1,7,1500,0,450,0,0,100100*96+100101*24+100201*14,0,30,#[color=3A3A3A_size=24]攻击增加4.5##[color=3A3A3A_size=24]点(副本闯关增加15##[color=3A3A3A_size=24]点)#
10201,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,1,300,0,150,0,0,100100*1+100102*1,0,1,#[color=3A3A3A_size=24]军备所提供攻击值增加1.5##[color=3A3A3A_size=24]点(副本闯关增加3##[color=3A3A3A_size=24]点)#
10202,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,2,400,0,200,0,0,100100*3+100102*3,0,8,#[color=3A3A3A_size=24]军备所提供攻击值增加2##[color=3A3A3A_size=24]点(副本闯关增加4##[color=3A3A3A_size=24]点)#
10203,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,3,500,0,250,0,0,100100*7+100102*5,0,10,#[color=3A3A3A_size=24]军备所提供攻击值增加2.5##[color=3A3A3A_size=24]点(副本闯关增加5##[color=3A3A3A_size=24]点)#
10204,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,4,600,0,300,0,0,100100*13+100102*8,0,15,#[color=3A3A3A_size=24]军备所提供攻击值增加3##[color=3A3A3A_size=24]点(副本闯关增加6##[color=3A3A3A_size=24]点)#
10205,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,5,700,0,350,0,0,100100*24+100102*12,0,20,#[color=3A3A3A_size=24]军备所提供攻击值增加3.5##[color=3A3A3A_size=24]点(副本闯关增加7##[color=3A3A3A_size=24]点)#
10206,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,6,800,0,400,0,0,100100*48+100102*16+100201*7,0,25,#[color=3A3A3A_size=24]军备所提供攻击值增加4##[color=3A3A3A_size=24]点(副本闯关增加8##[color=3A3A3A_size=24]点)#
10207,坚守,ui/Icon3/mopodoufu.png,1,1,6,1,0,1,1,7,1000,0,500,0,0,100100*96+100102*24+100201*14,0,30,#[color=3A3A3A_size=24]军备所提供攻击值增加5##[color=3A3A3A_size=24]点(副本闯关增加10##[color=3A3A3A_size=24]点)#
10301,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,1,750,60,150,60,0,100100*1+100103*2,0,1,#[color=3A3A3A_size=24]每60秒攻击增加1.5##[color=3A3A3A_size=24]点(副本闯关增加7.5##[color=3A3A3A_size=24]点)#
10302,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,2,1000,60,300,60,0,100100*3+100103*6,0,8,#[color=3A3A3A_size=24]每60秒攻击增加3##[color=3A3A3A_size=24]点(副本闯关增加10##[color=3A3A3A_size=24]点)#
10303,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,3,1300,60,450,60,0,100100*7+100103*10,0,10,#[color=3A3A3A_size=24]每60秒攻击增加4.5##[color=3A3A3A_size=24]点(副本闯关增加13##[color=3A3A3A_size=24]点)#
10304,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,4,1650,60,600,60,0,100100*13+100103*16,0,15,#[color=3A3A3A_size=24]每60秒攻击增加6##[color=3A3A3A_size=24]点(副本闯关增加16.5##[color=3A3A3A_size=24]点)#
10305,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,5,2050,60,750,60,0,100100*24+100103*24,0,20,#[color=3A3A3A_size=24]每60秒攻击增加7.5##[color=3A3A3A_size=24]点(副本闯关增加20.5##[color=3A3A3A_size=24]点)#
10306,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,6,2500,60,900,60,0,100100*48+100103*32+100201*7,0,25,#[color=3A3A3A_size=24]每60秒攻击增加9##[color=3A3A3A_size=24]点(副本闯关增加25##[color=3A3A3A_size=24]点)#
10307,冲锋,ui/Icon3/wenloutangbao.png,1,2,6,1,0,1,1,7,3000,60,1200,60,0,100100*96+100103*48+100201*14,0,30,#[color=3A3A3A_size=24]每60秒攻击增加12##[color=3A3A3A_size=24]点(副本闯关增加30##[color=3A3A3A_size=24]点)#
10401,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,1,1000,0,150,0,0,100100*1+100104*4,0,1,#[color=3A3A3A_size=24]箭塔攻速提升1.5%##[color=3A3A3A_size=24](副本闯关提升10%##[color=3A3A3A_size=24])#
10402,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,2,1200,0,300,0,0,100100*3+100104*12,0,8,#[color=3A3A3A_size=24]箭塔攻速提升3%##[color=3A3A3A_size=24](副本闯关提升12%##[color=3A3A3A_size=24])#
10403,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,3,1400,0,450,0,0,100100*7+100104*20,0,10,#[color=3A3A3A_size=24]箭塔攻速提升4.5%##[color=3A3A3A_size=24](副本闯关提升14%##[color=3A3A3A_size=24])#
10404,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,4,1600,0,600,0,0,100100*13+100104*32,0,15,#[color=3A3A3A_size=24]箭塔攻速提升6%##[color=3A3A3A_size=24](副本闯关提升16%##[color=3A3A3A_size=24])#
10405,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,5,1800,0,800,0,0,100100*24+100104*48,0,20,#[color=3A3A3A_size=24]箭塔攻速提升8%##[color=3A3A3A_size=24](副本闯关提升18%##[color=3A3A3A_size=24])#
10406,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,6,2200,0,1000,0,0,100100*48+100104*64+100201*7,0,25,#[color=3A3A3A_size=24]箭塔攻速提升10%##[color=3A3A3A_size=24](副本闯关提升22%##[color=3A3A3A_size=24])#
10407,急速,ui/Icon3/fengzhua.png,1,2,6,1,0,1,0,7,2500,0,1300,0,0,100100*96+100104*96+100201*14,0,30,#[color=3A3A3A_size=24]箭塔攻速提升13%##[color=3A3A3A_size=24](副本闯关提升25%##[color=3A3A3A_size=24])#
10501,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,1,20,100,100,100,0,100100*80,0,1,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加1##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.2##[color=3A3A3A_size=24])#
10502,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,2,30,100,150,100,0,100100*160+100010*18+100015*24,0,8,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加1.5##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.3##[color=3A3A3A_size=24])#
10503,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,3,40,100,200,100,0,100100*240+100010*36+100016*36,0,10,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加2##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.4##[color=3A3A3A_size=24])#
10504,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,4,50,100,250,100,0,100100*320+100010*54+100017*45,0,15,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加2.5##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.5##[color=3A3A3A_size=24])#
10505,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,5,60,100,300,100,0,100100*400+100010*72+100018*52,0,20,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加3##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.6##[color=3A3A3A_size=24])#
10506,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,6,70,100,350,100,0,100100*320+100010*54+100017*46,0,25,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加3.5##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.7##[color=3A3A3A_size=24])#
10507,窃取,ui/Icon3/chaofan.png,1,3,100,0,0,1,0,7,80,100,400,100,0,100100*400+100010*72+100018*53,0,30,#[color=3A3A3A_size=24]进攻时每击杀敌方建筑内100个小兵增加4##[color=3A3A3A_size=24]点攻击力##[color=3A3A3A_size=24](副本闯关提升0.8##[color=3A3A3A_size=24])#
10601,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,1,2000,0,700,0,0,100100*80,0,1,#[color=3A3A3A_size=24]攻击伤害提升7%##[color=3A3A3A_size=24](副本闯关提升20##[color=3A3A3A_size=24])#
10602,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,2,4000,0,1400,0,0,100100*160+100010*18+100015*24,0,8,#[color=3A3A3A_size=24]攻击伤害提升14%##[color=3A3A3A_size=24](副本闯关提升40##[color=3A3A3A_size=24])#
10603,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,3,6000,0,2100,0,0,100100*240+100010*36+100016*36,0,10,#[color=3A3A3A_size=24]攻击伤害提升21%##[color=3A3A3A_size=24](副本闯关提升60##[color=3A3A3A_size=24])#
10604,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,4,8000,0,2800,0,0,100100*320+100010*54+100017*45,0,15,#[color=3A3A3A_size=24]攻击伤害提升28%##[color=3A3A3A_size=24](副本闯关提升80##[color=3A3A3A_size=24])#
10605,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,5,10000,0,3500,0,0,100100*400+100010*72+100018*52,0,20,#[color=3A3A3A_size=24]攻击伤害提升35%##[color=3A3A3A_size=24](副本闯关提升100##[color=3A3A3A_size=24])#
10606,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,6,12000,0,4000,0,0,100100*320+100010*54+100017*46,0,25,#[color=3A3A3A_size=24]攻击伤害提升40%##[color=3A3A3A_size=24](副本闯关提升120##[color=3A3A3A_size=24])#
10607,突袭,ui/Icon3/chaofan.png,1,3,100,0,0,1,1,7,14000,0,5000,0,0,100100*400+100010*72+100018*53,0,30,#[color=3A3A3A_size=24]攻击伤害提升50%##[color=3A3A3A_size=24](副本闯关提升140##[color=3A3A3A_size=24])#
20101,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,1,300,0,150,0,0,100100*1+100111*1,0,1,#[color=3A3A3A_size=24]防御增加1.5##[color=3A3A3A_size=24]点(副本闯关增加3##[color=3A3A3A_size=24]点)#
20102,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,2,400,0,200,0,0,100100*1+100111*1,0,8,#[color=3A3A3A_size=24]防御增加2##[color=3A3A3A_size=24]点(副本闯关增加4##[color=3A3A3A_size=24]点)#
20103,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,3,600,0,250,0,0,100100*3+100111*3,0,10,#[color=3A3A3A_size=24]防御增加2.5##[color=3A3A3A_size=24]点(副本闯关增加6##[color=3A3A3A_size=24]点)#
20104,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,4,750,0,300,0,0,100100*7+100111*5,0,15,#[color=3A3A3A_size=24]防御增加3##[color=3A3A3A_size=24]点(副本闯关增加7.5##[color=3A3A3A_size=24]点)#
20105,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,5,900,0,350,0,0,100100*13+100111*8,0,20,#[color=3A3A3A_size=24]防御增加3.5##[color=3A3A3A_size=24]点(副本闯关增加9##[color=3A3A3A_size=24]点)#
20106,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,6,1200,0,400,0,0,100100*24+100111*12+100211*6,0,25,#[color=3A3A3A_size=24]防御增加4##[color=3A3A3A_size=24]点(副本闯关增加12##[color=3A3A3A_size=24]点)#
20107,圣盾,ui/Icon3/tianfuluo.png,2,1,6,1,0,1,1,7,1500,0,450,0,0,100100*48+100111*16+100211*12,0,30,#[color=3A3A3A_size=24]防御增加4.5##[color=3A3A3A_size=24]点(副本闯关增加15##[color=3A3A3A_size=24]点)#
20201,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,1,300,0,150,0,0,100100*1+100112*1,0,1,#[color=3A3A3A_size=24]军备所提供的防御值增加1.5##[color=3A3A3A_size=24]点(副本闯关增加3##[color=3A3A3A_size=24]点)#
20202,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,2,400,0,200,0,0,100100*3+100112*3,0,8,#[color=3A3A3A_size=24]军备所提供的防御值增加2##[color=3A3A3A_size=24]点(副本闯关增加4##[color=3A3A3A_size=24]点)#
20203,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,3,500,0,250,0,0,100100*7+100112*5,0,10,#[color=3A3A3A_size=24]军备所提供的防御值增加2.5##[color=3A3A3A_size=24]点(副本闯关增加5##[color=3A3A3A_size=24]点)#
20204,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,4,600,0,300,0,0,100100*13+100112*8,0,15,#[color=3A3A3A_size=24]军备所提供的防御值增加3##[color=3A3A3A_size=24]点(副本闯关增加6##[color=3A3A3A_size=24]点)#
20205,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,5,700,0,350,0,0,100100*24+100112*12,0,20,#[color=3A3A3A_size=24]军备所提供的防御值增加3.5##[color=3A3A3A_size=24]点(副本闯关增加7##[color=3A3A3A_size=24]点)#
20206,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,6,800,0,400,0,0,100100*48+100112*16+100211*6,0,25,#[color=3A3A3A_size=24]军备所提供的防御值增加4##[color=3A3A3A_size=24]点(副本闯关增加8##[color=3A3A3A_size=24]点)#
20207,坚韧,ui/Icon3/sanwenyu.png,2,1,6,1,0,1,1,7,1000,0,450,0,0,100100*96+100112*24+100211*12,0,30,#[color=3A3A3A_size=24]军备所提供的防御值增加4.5##[color=3A3A3A_size=24]点(副本闯关增加10##[color=3A3A3A_size=24]点)#
20301,不屈,ui/Icon3/danbaofan.png,2,2,6,1,0,1,1,1,750,60,200,60,0,100100*1+100113*12,0,1,#[color=3A3A3A_size=24]每60秒建筑防御增加2##[color=3A3A3A_size=24]点(副本闯关增加7.5##[color=3A3A3A_size=24]点)#
20302,不屈,ui/Icon3/danbaofan.png,2,2,6,1,0,1,1,2,1000,60,400,60,0,100100*3+100113*36,0,8,#[color=3A3A3A_size=24]每60秒建筑防御增加4##[color=3A3A3A_size=24]点(副本闯关增加10##[color=3A3A3A_size=24]点)#
