id,name,group,minPoint,maxPoint,RandWinScore,RandLoseScore,FixedWinScore,FixedLoseScore,FixedHostWinScore,FixedHostLoseScore,NopropWinScore,NopropLoseScore,icon,WinExp,FailExp
索引,段位名称,所属榜,积分下限,积分上限,随机匹配胜利获得荣誉,随机匹配失败获得荣誉,固定开房胜利获得荣誉,固定开房失败获得荣誉,房主胜利荣誉,房主失败荣誉,无道具场胜利获得荣誉,无道具场失败获得荣誉,图标,胜利得到的经验,失败或平局经验
1,青铜,1,1200,1800,0,0,300,50,600,300,0,0,null,100|110|120,20|25|30
2,青铜,1,1801,2000,0,0,300,50,600,300,0,0,null,105|115|125,25|30|35
3,青铜,1,2001,2200,0,0,300,50,600,300,0,0,null,110|120|130,30|35|40
4,白银,2,2201,2400,0,0,300,50,600,300,0,0,null,115|125|135,35|40|45
5,白银,2,2401,2600,0,0,300,50,600,300,0,0,null,120|130|140,40|45|50
6,白银,2,2601,2800,0,0,300,50,600,300,0,0,null,125|135|145,45|50|55
7,黄金,3,2801,3000,0,0,300,50,600,300,0,0,null,130|140|150,50|55|60
8,黄金,3,3001,3200,0,0,300,50,600,300,0,0,null,135|145|155,55|60|65
9,黄金,3,3201,3400,0,0,300,50,600,300,0,0,null,140|150|160,60|65|70
10,钻石,4,3401,3600,0,0,300,50,600,300,0,0,null,150|160|170,65|70|75
11,钻石,4,3601,3800,0,0,300,50,600,300,0,0,null,160|170|180,70|75|80
12,钻石,4,3801,100000,0,0,300,50,600,300,0,0,null,180|190|200,75|80|85
