ID,GateGuide,NodeID,GuideID,GroupID,Type,ExtraType,Skip,GuideMode,TipsTextID,TipsTextPos,TextID,DialogID,DialogNodeID,FocusType,GuideNodeID,GuideNodePos,DragNodeID,DragNodePos,IsForce,timer,NextGuideID,PreGuideID,GateID,Level,SoldierSum,Target,Item,IsShowHand,WaitTime,IsShow,Extra1,Func,FuncParam,IsPause,IsBattleGuide,IsFingerAni,PointerPos,PointAngle,TouchAtOnce,EnableFocus,OpratorType,canRollback,rookieCampGateID,SaveRelateGroup,SaveAtOnce,text
ID,关卡引导,新手节点ID,指引ID,组ID,类型,附加触发关联类型,是否可以跳过,指引操作方式1.点击;2.拖曳;3.聚焦,提示文字ID,提示文字位置,对话ID,对话形式,对话挂在节点ID,聚焦裁剪类型(1.圆形裁剪;2.矩形裁剪;3.无裁剪),聚焦节点ID,偏移位置,拖动节点ID,拖动节点位置,是否强制完成,触发时间,下一个指引ID,上一个指引ID,关卡ID,等级ID,兵力,目标建筑,物品,是否显示手指,等待时间,播完显示或隐藏,引导框大小,触发方法,方法参数,是否暂停,保留字段6,标记手指还是指针,指引位置,旋转角度,锁定触摸范围,是否聚焦,操作类型,是否可回滚,训练营影响关卡,保存关联组,立即保存,策划备注
1,2,11001,90,30,1,0,0,7,0,0#25,30046,109,0,0,0,0#25,0,0#0,0,0,100,0,99010,1,0,0,0,0,50,0,70,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营1-开场对话
2,2,11101,100,30,1,0,0,2,0,0#25,316,100,0,1,9901001,0#25,9901002,0#0,0,0,0,90,99010,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营1-引导占领
3,2,11201,101,30,11,0,0,7,0,0#25,30047,109,0,0,0,0#0,0,0#0,0,0,0,100,99010,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营1-占领后对话
4,2,11301,102,30,17,0,0,1,0,0#25,30056,108,9901002,1,9901002,0#25,0,0#0,1,0,0,101,99010,1,0,0,0,1,1,0,90,11,0,1,1,3,0#0,45,0,1,2,2,0,0,0,测试训练营1-兵力达到条件后升级
5,2,11401,104,30,35,0,0,1,38001,-120#-145,30048,101,9901003,2,9901005,-35#65,0,0#0,1,0,0,102,99010,1,0,9901005,0,0,3,0,360#350,0,0,0,0,0,0#0,45,1,1,0,2,0,0,0,测试训练营1-聚焦野蛮人攻击鬼武者
6,2,11501,105,30,34,0,0,1,38002,0#-165,30049,101,9901005,2,9901003,95#15,0,0#0,1,0,0,104,99010,1,0,9901003,0,0,3,0,360#350,0,0,0,0,0,0#0,45,1,1,0,2,0,0,0,测试训练营1-聚焦鬼武者出兵攻击野蛮人
10,2,11601,110,30,36,0,0,3,0,0#25,30053,106,0,0,0,0#25,0,0#0,0,2,0,105,99010,1,1,9901003,0,0,50,0,70,18,1#2,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营1-玩家的孙悟空技能展示
13,2,11701,112,30,40,0,0,7,0,0#25,30055,109,0,0,0,0#25,0,0#0,0,0,113,110,99010,1,0,0,0,0,50,0,70,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营1-提示占领
12,2,11801,113,30,1,0,0,2,0,0#25,316,100,0,1,9901002,0#25,9901003,0#0,0,0.8,0,112,99010,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营1-引导占领
14,2,11901,114,30,22,0,0,2,0,0#25,316,100,0,1,9901001,0#25,9901005,0#0,0,0,0,113,99010,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,1,测试训练营1-引导占领
15,0,12001,1700,910,27,0,0,5,0,0#25,0,100,0,3,0,0#0,0,0#0,1,0,1710,0,99010,1,0,0,0,0,0,0,0,17,0,0,0,0,0#0,0,0,1,0,0,0,0,1,改名后的对话
16,0,20001,1710,920,5,0,0,1,0,0#25,99020,103,0,2,mGuideNode3,0#0,0,0#0,1,0,0,1700,99020,1,0,0,0,1,3,0,435#390,0,0,0,0,0,300#-120,135,1,1,0,0,0,0,0,训练营第2关进入提示
17,0,30001,1720,930,5,0,0,1,0,0#25,99030,103,0,2,mGuideNode3,0#0,0,0#0,1,0,0,1710,99030,1,0,0,0,1,3,0,435#390,0,0,0,0,0,300#-120,135,1,1,0,0,0,0,0,训练营第3关进入提示
18,0,40001,1730,940,5,0,0,1,0,0#25,99040,103,0,2,mGuideNode3,0#0,0,0#0,1,0,0,1720,99040,1,0,0,0,1,3,0,435#390,0,0,0,0,0,300#-120,135,1,1,0,0,0,0,0,训练营第4关进入提示
19,0,50001,1740,950,5,0,0,1,0,0#25,99050,103,0,2,mGuideNode3,0#0,0,0#0,1,0,0,1670,99050,1,0,0,0,1,3,0,435#390,0,0,0,0,0,300#-120,135,1,1,0,0,0,0,0,训练营第5关进入提示
20,0,70001,1800,34,5,0,0,1,0,0#25,0,100,0,1,0,0#0,0,0#0,1,0,0,1740,1010,1,0,0,0,1,15,0,70,0,0,0,0,0,100#200,45,1,1,0,0,0,0,1,玩家选择为继续后引导玩家点击主界面教学
21,2,21101,200,40,1,0,0,3,0,0#25,30004,102,0,1,9902003,0#25,0,0#0,0,0,210,0,99020,1,0,0,0,0,5,0,70,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营2-开场对话，聚焦中立建筑
22,2,21201,210,40,1,0,0,1,0,0#25,316,100,0,2,9902003,116#25,0,0#0,1,0,0,200,99020,1,0,0,0,0,3,0,374#179,0,0,0,0,0,150#180,45,1,1,0,2,0,0,0,测试训练营2-聚焦粽子出兵攻击寿司
23,2,21301,220,40,18,0,0,7,0,0#25,30005,102,0,0,0,0#0,0,0#0,0,0.3,0,210,99020,1,0,0,0,0,0,0,0,2,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营2-剧情对话
24,2,21401,230,40,1,0,0,2,0,0#25,316,100,0,1,9902001,0#25,9902003,0#0,0,0,0,220,99020,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营2-引导占领
25,2,21501,240,40,19,0,0,2,0,0#25,316,100,0,1,9902002,0#25,9902003,0#0,0,0,0,230,99020,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营2-引导占领
26,2,21601,250,40,11,0,0,7,0,0#25,30006,102,0,0,0,0#0,0,0#0,0,0,0,240,99020,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营2-占领后对话
27,2,21701,260,40,14,0,0,2,0,0#25,316,100,0,1,9902003,0#25,9902004,0#0,0,0,0,250,99020,1,35,9902003,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,1,测试训练营2-引导占领
28,2,31101,300,50,1,0,0,3,0,0#25,30007,102,0,1,9903002,0#25,0,0#0,0,0,0,0,99030,1,0,0,0,0,5,0,70,0,0,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营3-开场对话，聚焦箭塔
