id,user,type,urgent_flag,times,time_gap,title,desc,msg_type,value,text
编号,谁触发,公告类型,紧急程度,跑马灯次数,跑马灯间隔,标题,内容,,连胜次数,备注
1,1,2,0,1,0,萌萌的各位：,《美味战争》已于10月28日在安卓渠道全面首发，全民微电竞时代，有你加入更精彩！\n\n\\c[FF0000]1.在线抽奖活动获奖名单（已完结）:\\c[874833]\n10.28日获奖ID:1011210、1002736、1003444\n10.29日获奖ID:1012031、1000711、1004175\n10.30日获奖ID:1015277、1000272、1008597\n（以上用户获得游戏周边奖励）\n\n10月28至11月3日连续七天登入获奖ID：\n1000557、1000474、1021911\n（以上用户获得话费奖励）\n请以上用户尽快联系工作人员核实并发放奖励\n\n\\c[FF0000]2.美食争霸排名（进行中）：\\c[874833]\n截止到11月30日排名前十的用户奖励：\n第1名：联想ZUK手机\n第2名：周边2件\n第3名：200元话费\n第4-10名：100元话费\n温馨提示：\n1.排名一小时刷新一次，请以游戏中实际排名为准\n2.名单将在活动结束后在公告中发布出来\n\n\n为了广大玩家的设备数据安全，建议大家到正规的安卓渠道下载游戏安装包，以免造成数据丢失以及手机安全的情况发生！同时对于使用非法安装包和软件者我们将封号处理\n\n\n活动详情请查看官网公告：http://foodgame.61games.cn\n玩家交流群：478803945（加群领取礼包）\n微信公众号：games602（关注公众号领取礼包）,,,公告占用第一个id颜色编号\\c[FF0000]为红色\\c[874833]为默认颜色
2,2,1,0,1,0,竞技场,\\c[fcdf44]%s\\c[ffffff]今日在竞技场中连胜5场无人可挡了,1,5,use中1为客户端使用2为后台触发type2为公告1为走马灯urgent_flag中1为紧急公告
3,2,1,0,1,0,竞技场,\\c[fcdf44]%s\\c[ffffff]今日在竞技场中连胜6场主宰比赛了,1,6,times为次数
4,2,1,0,1,0,竞技场,\\c[fcdf44]%s\\c[ffffff]今日在竞技场中连胜7场接近神了,1,7,time_gap为间隔时间
5,2,1,0,1,0,竞技场,\\c[fcdf44]%s\\c[ffffff]今日在竞技场中连胜%d场已经超神了,1,8,msg_type1为竞技场连胜相关2为终结
6,2,1,0,1,0,终结啦,英勇的\\c[fcdf44]%s\\c[ffffff]一马当先终结了\\c[fcdf44]%s\\c[ffffff]的%d连胜,2,8,总结3连以上进行公告；总结连胜类型只对在线玩家公告
7,2,1,0,3,180,第%d赛季结束公告,经过激励的对战，第%d赛季圆满结束。%s获得冠军、%s获得亚军、%s获得季军；在这普天同庆的日子《美味战争》项目组的运营GG决定给每人100钻石压压惊,3,3,赛季结束进行排名公告；类型特殊需求为对不在新的玩家上线后进行补充此公告
9,2,1,0,1,120,抽卡公告,恭喜\\c[fcdf44]%s\\c[ffffff]通过%s获得了\\c[4cd302]%s\\c[ffffff],4,0,在抽卡系统中抽到东西
10,2,1,0,1,120,获得常胜将军勋章公告,恭喜\\c[fcdf44]%s\\c[ffffff]在常胜将军中获得了\\c[4cd302]%d级勋章\\c[ffffff],5,0,获得常胜将军勋章公告
