id,type, range  ,  duration  ,cdtime,icon,priority,beginCd,useRange,isPve,display,headText,text,text1,text2,params,data,startTime,endTime
id,道具类型,作用范围（w#h）,作用时间,冷却时间,道具图标,选择优先级,初始为cd,作用范围类型,是否是pve道具,是否显示,范围描述,名称,描述,使用说明,特殊参数,物品数据【如果是宝箱 宝箱 表示奖励数据ID 特殊物品特殊处理】,物品生效起始时间,物品失效时间
10001,4,0,75,45,ui/Icon/Icon_blb_pvp.png,0,1,1,0,1,增援包,增援包,使用后己方的目标建筑增加50兵力,点击道具，然后点击需要补充兵力的己方建筑,,,,
10002,1,0,3,10,ui/Icon/Icon_by_pvp.png,0,0,1,0,0,兵营转换卷,兵营转换卷,将一个己方建筑强制转换成兵营，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
10003,2,0,3,10,ui/Icon/Icon_yjs_pvp.png,0,0,1,0,0,军备所转换卷,军备所转换卷,将一个己方建筑强制转换成军备所，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
10004,3,0,3,10,ui/Icon/Icon_pt_pvp.png,0,0,1,0,0,箭塔转换卷,箭塔转换卷,将一个己方建筑强制转换成箭塔，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
10005,5,0,15,15,ui/Icon/Icon_zb.png,7,0,0,1,0,怀表,怀表,使用后延长通关时间15秒，只可在冒险闯关中使用,点击道具使用,,,,
10006,6,210,4060,45,ui/Icon/Icon_mnbs.png,0,1,2,0,1,大火球,大火球,召唤一个火球，消灭目标区域中的部队,点击道具，然后点击目标区域,,,,
10007,7,1280,10,30,ui/Icon/Icon_bdzd.png,0,0,2,0,1,冰风暴,冰风暴,召唤冰风暴，冻结移动中的部队,点击道具使用,,,,
10008,8,0,10,10,ui/Icon/Icon_zh_pvp.png,0,0,1,0,1,争霸转换卷,争霸转换卷,将一个己方建筑转换成其他建筑,点击道具选择类型，然后点击需要转换的己方建筑,,,,
10009,9,0,15,30,ui/Icon/Icon_dp_pvp.png,0,0,1,0,1,隐形护盾,隐形护盾,用隐形护盾盖住一个己方建筑，使其可以不受敌人的攻击,点击道具，然后点击一个己方建筑,0+0+0+0,,,
