id,name,score,skinData,assitData,glyphsData,icon,winCount,rate,realScore
索引(自增长),AI名称,积分,皮肤随机方案（1-5）,将军随机方案"ID;Level","符文随机方案""glyphID,glyphLevel;glyphID,glyphLevel;...""",随机1~18,连胜次数（0-3）,胜率百分比（1-50）,实际积分
1,爱丽格雷,1409,3,101001;1,,6,0,20,1309
2,莉克劳埃德,1416,5,101001;1,,9,0,38,1316
3,莱德休,1488,3,101001;1,,12,0,27,1388
4,艾莎麦当劳,1445,1,101001;1,,12,3,45,1345
5,玛贝洛克,1440,1,101001;1,,6,0,41,1340
6,可妮妮可,1463,3,101001;1,,6,2,44,1363
7,斯蒂汉娜,1405,3,101001;1,,9,0,34,1305
8,爱沙罗兹,1430,5,101001;1,,2,1,46,1330
9,塔娅陶特,1410,3,101001;1,,17,0,42,1310
10,维亚埃莉诺,1496,3,101001;1,,17,1,49,1396
11,贝亚艾德琳,1427,2,101001;1,,17,3,32,1327
12,T玛丽,1476,5,101001;1,,3,0,36,1376
13,切西休利特,1500,1,101001;1,,5,3,22,1400
14,凯瑟露丝,1409,3,101001;1,,9,3,42,1309
15,爱伦罗宾逊,1423,3,101001;1,,15,0,24,1323
16,基蒂诺顿,1456,2,101001;1,,11,1,43,1356
17,乔娜康拉德,1496,2,101001;1,,18,3,25,1396
18,P西奥多,1421,2,101001;1,,14,2,26,1321
19,莎拉查理,1466,1,101001;1,,7,3,20,1366
20,艾米杰西,1423,1,101001;1,,7,1,34,1323
21,双子达芙妮,1480,5,101001;1,,7,1,24,1380
22,安贝艾狄生,1459,5,101001;1,,17,0,28,1359
23,拉里德,1422,1,101001;1,,11,3,47,1322
24,杜拉k,1566,2,101001;1,10101;10301;10401;20201;20301,18,1,22,1466
25,艾咪萨默,1596,4,101001;1,20101;20301;40101;40402,14,0,20,1496
26,达茜-y,1512,5,101001;1,10101;10201;10301;20201;20301,14,3,35,1412
132,薇莎,1522,2,101001;1,10201;10301;10401;20101;20201,10,3,26,1422
133,温妮黛布拉,1539,2,101001;1,10101;10401;20101;20201;20301,7,2,26,1439
134,Z悉尼,1548,3,101001;1,10101;10401;20101;20201;20301,13,3,35,1448
135,坎蒂卡特琳,1586,4,101001;1,20101;20301;20401;40101;40401,14,2,25,1486
136,奥帕理查森,1594,2,101001;1,10201;10301;20101;20201;20301,9,2,37,1494
137,克里德莱登,1571,1,101001;1,10101;10201;10301;20101;40101,17,3,29,1471
138,伊妮瓦特,1501,2,101001;1,10101;10201;20101;20201;20401,14,0,30,1401
139,迪丝j,1522,1,101001;1,10101;10401;20101;20201;40101,8,2,29,1422
140,斯蒂嘉利,1541,5,101001;1,10201;40301;40403,2,3,33,1441
141,伊萨哈里森,1512,4,101001;1,10301;10401;20401;40301;40401,10,0,42,1412
142,盖尔劳埃德,1594,1,101001;1,10101;10201;10301;20101;20201,10,1,24,1494
143,凯丝刘易士,1504,2,101001;1,10101;10401;20101;20201;20301,12,3,26,1404
144,曼达李嘉图,1519,2,101001;1,10101;10301;20101;20201;20401,10,0,40,1419
145,黛拉罗吉尔,1565,1,101001;1,10101;10301;20101;20201;40101,3,0,44,1465
146,兰特曼达,1506,3,101001;1,10101;10401;20401;40301;40401,7,3,34,1406
147,林恩巴里,1559,4,101001;1,10201;10301;20201;40301;40401,16,3,37,1459
148,奥琳科瑞恩,1504,1,101001;1,10301;20101;20201;20401;40101,11,2,33,1404
149,塞琳贝内特,1507,4,101001;1,10201;20101;20301;20401;40101,7,0,47,1407
150,萨海伍德,1570,3,101001;1,10101;10201;10301;10401;20101,10,0,34,1470
151,瑞丝堂娜,1556,1,101001;1,10101;10401;20101;20301;40101,4,1,38,1456
152,凯西卡瑞娜,1584,3,101001;1,10101;10301;20401;40201;40301,10,3,47,1484
153,安伯特温,1548,3,101001;1,10101;10301;10401;20201;20301,13,1,32,1448
154,朱蒂海蒂,1546,4,101001;1,20101;20301;40101;40402,18,3,36,1446
155,凯特波普,1535,4,101001;1,10101;10201;10301;20201;20301,14,0,43,1435
156,妮可a,1539,4,101001;1,10301;20101;20301;20401;40101,4,0,22,1439
157,爱尔贾德森,1557,5,101001;1,10101;10401;20101;20201;20301,5,0,45,1457
158,尔达索耶,1505,3,101001;1,10101;10201;10301;10401;20101,1,2,36,1405
159,艾瑞莫琳,1512,1,101001;1,10201;10401;20101;20201;20301,10,0,36,1412
160,爱得夏洛特,1560,5,101001;1,10301;10401;40301;40402,13,1,27,1460
161,芬妮诺里斯,1588,1,101001;1,10201;20101;20401;40101;40401,11,3,28,1488
162,丽哈伯德,1503,5,101001;1,10101;10201;10301;10401;20301,10,3,28,1403
163,蜜拉丹,1574,1,101001;1,10401;20201;20301;20401;40101,7,2,44,1474
164,梅利艾奇逊,1596,4,101001;1,20201;20301;40101;40201;40301,5,1,34,1496
165,多琳埃尔莎,1502,2,101001;1,10101;40404,16,2,40,1402
166,莫琳惠特,1576,2,101001;1,10101;10201;20201;20301;20401,1,0,28,1476
167,凯罗苏珊,1537,5,101001;1,10101;10201;10301;10401;20201,7,1,35,1437
168,黛拉罗塞蒂,1562,1,101001;1,10101;10201;20101;20301;20401,17,1,37,1462
169,莉兹凯琳,1509,4,101001;1,10201;10401;20101;40101;40301,5,1,31,1409
170,爱葛a,1558,3,101001;1,10401;20301;40101;40301;40401,13,2,41,1458
171,丽贝保拉,1551,1,101001;1,10301;10401;40301;40402,5,2,33,1451
172,罗琳佩恩,1593,1,101001;1,10201;20301;40101;40402,17,0,31,1493
173,特莉李顿,1595,4,101001;1,10101;10201;20201;20401;40401,2,0,43,1495
174,米兰汤姆,1500,3,101001;1,10101;10301;10401;20101;20301,7,3,31,1400
175,克莱贾斯帕,1569,2,101001;1,10301;20101;20201;20301;20401,10,1,48,1469
176,坦斯阿姆斯,1519,1,101001;1,10301;10401;20101;20201;40201,18,3,30,1419
177,爱莎c,1533,3,101001;1,10301;10401;20101;20301;40101,17,2,45,1433
178,海伦劳埃德,1503,3,101001;1,10201;10301;20301;40402,1,3,34,1403
179,P-斯宾塞,1572,3,101001;1,20101;20201;20301;40101;40301,13,1,39,1472
180,射手p,1595,1,101001;1,10401;20201;20401;40101;40301,10,3,45,1495
181,凯瑟米兰达,1578,4,101001;1,10301;10401;20301;40201;40301,18,1,26,1478
182,N-伯恩斯,1527,2,101001;1,10201;10401;20101;20201;20301,18,2,35,1427
183,W-露西亚,1548,3,101001;1,10101;10201;10401;40201;40401,12,2,25,1448
184,巨蟹劳埃德,1650,5,101001;1,10102;20201;20301;40101;40201;40301;40403,15,3,45,1550
185,瑞拉安妮,1662,2,101001;1,10101;10201;10302;20301;20401;40102;40201;40301,7,3,29,1562
186,曼婷福勒,1613,2,101001;1,10302;20102;20201;20301;20401;40102;40201,14,1,31,1513
187,K费尔顿,1656,5,101001;1,10102;10301;20201;20301;20401;40102;40201;40401,9,2,46,1556
188,Z-骚塞,1625,2,101001;1,10102;10301;10401;20101;20201;20301;40102;40201,15,3,35,1525
189,C丽贝卡,1666,2,101001;1,10301;20102;20301;40102;40201;40301;40402,16,3,31,1566
190,亚特苏拉,1658,4,101001;1,10101;10302;10401;20301;40201;40404,10,2,34,1558
191,梅琳屈莱顿,1657,2,101001;1,10101;10302;10401;20101;20301;20401;40102;40201,10,2,42,1557
192,U骚塞,1674,1,101001;1,10101;10201;10301;20101;20401;40101;40301;40403,2,2,30,1574
193,朱莉斯特拉,1628,4,101001;1,10201;10301;10401;20102;20301;20401;40102;40201,14,1,27,1528
194,约瑟理嘉图,1664,3,101001;1,10102;10201;10302;10401;20101;20301;40301;40401,18,2,29,1564
195,阿德埃莉卡,1634,1,101001;1,10101;10201;10401;20102;20201;20401;40102;40201,9,1,47,1534
196,克劳卡丽,1612,5,101001;1,10401;20101;40407,7,3,49,1512
197,布鲁摩利,1656,4,101001;1,10302;10401;20201;20401;40301;40404,12,3,45,1556
198,赫柏季星,1606,1,101001;1,10301;20101;20201;20301;20401;40201;40404,14,2,46,1506
199,温妮贝蒂,1639,1,101001;1,10101;10201;10301;20301;20401;40301;40404,4,2,39,1539
200,克里查理,1647,3,101001;1,10101;10201;10401;20101;20201;20301;20401;40101;40201;40301,9,2,31,1547
201,娜莉约翰尼,1604,1,101001;1,10101;10201;10301;20201;20401;40101;40301;40403,11,1,30,1504
202,妮丝斯宾塞,1655,5,101001;1,10102;10201;10301;20101;40201;40404,2,3,37,1555
203,R德.昆西,1670,5,101001;1,10201;10302;20102;20201;20301;20401;40101;40301,7,1,49,1570
