id,text,text2
key,文本,备注
101,占领所有建筑即可获胜,1开头为通关模式提示问题
102,占领头顶皇冠的建筑即可获胜,
103,获得300积分即可获胜,
104,规定时间内保护好自己的建筑即可获胜,
105,守护好戴皇冠的建筑！,
201,在%d秒内获得胜利,2开头为评星模式的提示文字
202,不要让敌方建筑数量超过%d,
203,敌方从未占领皇冠建筑,
204,胜利时剩余%d个以上中立建筑,
205,任意一方兵力不超过%d,
206,占领全部皇冠建筑,
207,己方兵力数量大于敌方%d,
208,己方兵力数量不超过%d,
209,己方兵力达到%d,
210,敌方兵力数量不超过%d,
211,敌方兵力数量超过%d,
212,己方初始建筑丢失小于%d个,
213,胜利时，拥有%d个建筑,
214,剩余%d个以上的士兵取得胜利,
215,吃掉%d个野生食物,
216,不升级初始建筑,
217,标星建筑不改变阵营时，占领边框的建筑,
218,同时拥有%d个建筑,
219,士气超过%d,
220,无,
250,√,获得评星时候的对号显示
251,×,评星失败时候的查号显示
252,冷却中（%ds）,
2900,网络信号丢失，正在努力连接...,
300,看见那个建筑了吗？这就是你的兵营哦,新手引导说明文字
301,兵营会持续为你生产士兵,新手引导说明文字
302,现在派遣你的士兵去占领敌方建筑吧，派出的士兵要比敌军多才能占领它哦~,新手引导说明文字
303,咦？这有个呆呆的寿司，每次都保持中立，先占领了它，把它据为己有吧,新手引导说明文字
304,主人，你的兵营已经可以升级了，快连续点击两下让它升级吧~,新手引导说明文字
305,咦？这里有个按钮，快点开看看!,新手引导说明文字
306,胜利的时候满足这些条件送星星哦！,新手引导说明文字
307,注意拉，敌方的援军马上要到了，超过时间此次作战就失败拉~,新手引导说明文字
308,这个是箭塔，虽然不生产士兵，但他们有强大的火力是敌军的克星,新手引导说明文字
309,升级箭塔可以增加它的攻击速度，但是升级需要消耗20个士兵哦~,新手引导说明文字
310,这次的战斗和以往的不同，只需要占领戴有皇冠的全部建筑就能获胜咯~,新手引导说明文字
311,可以设置每次出兵的百分比哦，是全体出动还是小队骚扰，随您派遣,新手引导说明文字
312,看到拿厨具的寿司了么？大家都叫它们军备所,新手引导说明文字
313,有了他们可以使你的士兵军队攻击力提高哦！,新手引导说明文字
314,军备所无法升级，占领越多，效果越好，但最多只能有4个生效，占领的超过4个也只有4个生效哦,新手引导说明文字
315,这个是野生的食物，吃掉他会提升士兵的攻击力哦,新手引导说明文字
316,美味食物之间的战争开始了，抄起你的厨具来随我一起参战吧~,
317,萌包正在与其他食物交战，快来指挥你的萌包大军占领其他食物吧~,
318,战斗结束拉，让我们回探险地图去吧,
319,人家才不会告诉你，有福利可以领取了呢,
320,到底是什么福利呢？主人快打开看看,
321,这个好东西就送你啦！一般人我才不告诉他！,
322,别忘了每天来看看有什么好东西可以领取哦，让我们返回继续探险吧,
323,继续进入战斗吧！,
324,#[color=b7600e_size=24]点击上面的返回按钮回到探险地图#,
325,#[color=b7600e_size=24]点击上面的返回按钮回到主界面#,
326,#[color=b7600e_size=24]参与竞技场，选出最强指挥官，点击进入战场~#,
327,#[color=b7600e_size=24]点击快速匹配，可以快速匹配到其他玩家进行战斗哦#,
328,点击开始按钮进入战斗吧,
329,吞并野生食物、升级、占领及守护建筑成功会增加士气，士气会增加攻防和移动速度哦,
330,兵营升级能够更快地生产部队，但也会吃掉一定数量的士兵，注意看兵营的等级旗帜哦,
331,兵营一共分5个等级，级别越高，升级消耗掉的士兵也越多，注意看旗帜的区别哦~,
332,箭塔有5个等级，升级后外形都会产生变化哦，来看看他们都长什么样吧~,
333,快感受下道具的魅力吧！,
334,点击这里就可以添加道具了哦！,
335,快带上这个兵力包，新兵,
336,现在来试试这个兵力包道具吧,
337,点击需要补给兵力的兵营吧,
338,看这里！填充这个士气条就可以使你的军队变强哦！,
339,提升士气有很多种方式，要时刻注意自己和敌人的士气哦,
340,吃掉他们不但可以获得士气，还可以获得特殊的强化哦,
341,这次的战斗和以往的不同哦，需要抢占阵地，占领全部带有皇冠的建筑就能获胜咯~,
342,我们来继续下一关吧,
343,快返回星系看看我给你准备了什么惊喜吧！,
344,看！这是美食星系特有的钻石哦！,
345,快拿着钻石去商城购买道具吧！,
346,在商城里不仅可以购买道具，也可以购买钻石哦！现在先买一个兵力包吧！,
347,点击购买,
348,购买完快回星系吧！,
349,带上刚出炉的兵力包，继续冒险吧！,
350,失败乃兵家常事，不要气馁哦！快去美味小讲堂恶补一下功课！继续挑战吧！,
351,#[color=b7600e_size=24]猜猜我送你的是什么宝贝呢？#,
352,人家又送你礼物啦，猜猜这次是啥,
353,#[color=b7600e_size=24]这是可以领悟天赋的天赋材料#,
354,#[color=b7600e_size=24]现在我们来学习天赋技能吧#,
355,#[color=b7600e_size=24]点击这里学习一个天赋技能#,
356,#[color=b7600e_size=24]点击学习#,
357,#[color=b7600e_size=24]你已经学会一个天赋技能啦，多多收集材料来升级吧，你会变得更强大！#,
358,这个敌方建筑聚集了很多小兵防守，士兵一个一个去打是打不下来的,
359,先把小兵们集合在一块儿吧,
360,现在小口气把敌方建筑占领吧,
361,不好啦，兵营被攻打了,
362,快从其他兵营派兵去支援吧，战斗中相互支援是经常的事情哦,
363,仔细看，这个是箭塔的攻击范围！进来的敌人会被一个一个消灭,
364,点击这里，把出兵比例调整为50%,
365,然后分别去救援这两个可怜的建筑吧,
366,这个建筑屯了好多兵，先不要去惹它,
367,柿子先拿软的捏，现在把这个兵少的兵营占领吧,
377,现在连续点击两下让它升级吧,
378,点击荧幕继续,
400,温馨提示,点击完爆萌包的下一个大关卡
401,通关顽皮的粽子后开启,点击完爆萌包的下一个大关卡
402,暂未开启！敬请期待哦！,点击完爆萌包下一关卡之外的其他关卡
403,请先通关前一关卡哦~,当点击未开启的主线关卡时候提示，当主线关卡未开启点击对应的支线关卡也进行此提示
404,获得%颗星星就可以开启啦！,当主线关卡已经开启支线关卡未开启点击支线关卡时开启
405,充值功能还没开放哦,点击商城内的按钮时候提示
406,呐呐呐，这个道具还没研究完成呢,点击商城的道具标签时候提示
407,体力不足了,
408,需要通关顽皮的粽子中的所有关卡才能开启呦~,
