id,type,diamond,diamondStr,manual,img,icon,energy,gift,giftCout,text,sdkType,text,name,start_time,end_time,leftCount,giftId,discount,price,giftIcon,giftType
编号,模块类型,充值金额,充值显示,钻石,钻石图片,推荐标识1月卡2限购3推荐,标识,赠送,次数,描述,支付sdk类型+移动联通#电信#网游,备注,礼包名称,开始时间(yyyy-MM-dd HH:mm:ss),结束时间,剩余数量,礼包ID,折扣,价格,礼包icon,礼包类型(1:普通礼包，2：新手礼包)
1,1,20,20,228,ui/Shop/Shop_Purchase_zuanshi-7.png,1+0,1,50,30,30天内每天通过邮件可领取50钻石,1#1#1,标识1代表月卡；多次购买延长时间,,,,,,,,,0
2,1,5,5,50,ui/Shop/Shop_Purchase_zuanshi-2.png,0,0,0,0,优惠价格,1#1#0,标识3表示赠送标记位；每次赠送5个标记位置只赠送1次,,,,,,,,,0
3,1,10,10,108,ui/Shop/Shop_Purchase_zuanshi-3.png,0,0,0,0,优惠价格,1#1#0,标识4表示增加精力上限；赠送10点只送1次,,,,,,,,,0
4,1,15,15,168,ui/Shop/Shop_Purchase_zuanshi-4.png,0,0,0,0,优惠价格,1#1#0,标识5表示赠送钻石，赠送288,,,,,,,,,0
5,1,25,25,288,ui/Shop/Shop_Purchase_zuanshi-6.png,2+1#3+0,5,288,1,首次购买赠送288钻石,1#0#0,标识1代表月卡；多次购买延长时间,,,,,,,,,0
6,1,29,29,368,ui/Shop/Shop_Purchase_zuanshi-6.png,1+0,5,368,1,首次购买赠送368钻石,1#0#0,基地电信版不显示25和29项,,,,,,,,,0
7,1,68,68,866,ui/Shop/Shop_Purchase_zuanshi-6.png,0,5,866,1,首次购买赠送866钻石,0#0#0,接网游SDK才显示此项,,,,,,,,,0
8,1,128,128,1668,ui/Shop/Shop_Purchase_zuanshi-6.png,0,5,1668,1,首次购买赠送1668钻石,0#0#0,接网游SDK才显示此项,,,,,,,,,0
9,1,328,328,4268,ui/Shop/Shop_Purchase_zuanshi-6.png,0,5,4268,1,首次购买赠送4268钻石,0#0#0,接网游SDK才显示此项,,,,,,,,,0
10,1,648,648,8888,ui/Shop/Shop_Purchase_zuanshi-6.png,0,5,8888,1,首次购买赠送8888钻石,0#0#0,接网游SDK才显示此项,,,,,,,,,0
21,1,1,1,10,ui/Shop/Shop_Purchase_zuanshi.png,0,5,10,1,首次购买赠送10钻石,0#0#0,标识5表示赠送钻石，赠送10,,,,,,,,,0
22,1,6,6,65,ui/Shop/Shop_Purchase_zuanshi.png,0,5,65,1,首次购买赠送65钻石,0#0#1,标识5表示赠送钻石，赠送65,,,,,,,,,0
23,1,12,12,135,ui/Shop/Shop_Purchase_zuanshi-2.png,0,5,135,1,首次购买赠送135钻石,0#0#1,标识5表示赠送钻石，赠送135,,,,,,,,,0
24,1,28,28,320,ui/Shop/Shop_Purchase_zuanshi-3.png,2+1#3+0,5,320,1,首次购买赠送320钻石,0#0#1,标识5表示赠送钻石，赠送320,,,,,,,,,0
25,1,58,58,668,ui/Shop/Shop_Purchase_zuanshi-4.png,2+1#3+0,5,668,1,首次购买赠送668钻石,0#0#1,标识5表示赠送钻石，赠送668,,,,,,,,,0
26,1,98,98,1168,ui/Shop/Shop_Purchase_zuanshi-5.png,0,5,1168,1,首次购买赠送1168钻石,0#0#1,标识5表示赠送钻石，赠送1168,,,,,,,,,0
27,1,168,168,2068,ui/Shop/Shop_Purchase_zuanshi-6.png,0,5,2068,1,首次购买赠送2068钻石,0#0#1,标识5表示赠送钻石，赠送2068,,,,,,,,,0
51,2,0,0,0,0,0,0,0,0,0,0,0,进阶礼包,#20160107000000,#20160114000000,999,425,8,218,ui/Shop/shop_libao_violet.png,1
52,2,0,0,0,0,0,0,0,0,0,0,0,闯关礼包,#20160114000000,#20160121000000,999,413,5,116,ui/Shop/shop_libao_red.png,1
53,2,0,0,0,0,0,0,0,0,0,0,0,王者礼包,#20121227000000,#20121229000000,600,412,6,300,ui/Shop/shop_libao_red.png,1
54,2,0,0,0,0,0,0,0,0,0,0,0,战斗礼包,#20121227000000,#20121229000000,800,423,6,160,ui/Shop/shop_libao_red.png,1
55,2,0,0,0,0,0,0,0,0,0,0,0,狂欢礼包,#20121227000000,#20121229000000,999,424,6,130,ui/Shop/shop_libao_violet.png,1
56,2,0,0,0,0,0,0,0,0,0,0,0,新手礼包,#20120930000000,#20380101000000,0,1,0,295,ui/Shop/shop_libao_newplayer.png,2
57,2,0,0,0,0,0,0,0,0,0,0,0,主厨礼包,#20121227000000,#20121229000000,800,428,6,168,ui/Shop/shop_libao_red.png,1
58,2,0,0,0,0,0,0,0,0,0,0,0,厨神礼包,#20121227000000,#20121229000000,600,429,6,328,ui/Shop/shop_libao_violet.png,1
101,3,28,0,0,0,0,0,0,0,0,0,黄金VIP30天,,,,,,,,,
102,3,18,0,0,0,0,0,0,0,0,0,钻石VIP7天,,,,,,,,,
103,3,58,0,0,0,0,0,0,0,0,0,钻石VIP30天,,,,,,,,,
200,4,18,0,0,0,0,0,0,0,0,0,解锁pve关卡第二章,,,,,,,,,
201,4,28,0,0,0,0,0,0,0,0,0,解锁pve关卡第三章,,,,,,,,,
